Report,Link
"Galxe platform experiences DNS attack, losses top $150K",https://cointelegraph.com/news/galxe-protocol-experiences-dns-attack-october-6
EXPLAINED: THE QUBIT HACK (JANUARY 2022),https://www.halborn.com/blog/post/explained-the-qubit-hack-january-2022
EXPLAINED: THE METER.IO HACK (FEBRUARY 2022),https://www.halborn.com/blog/post/explained-the-meter-io-hack-february-2022
EXPLAINED: THE PNETWORK HACK (SEPTEMBER 2021),https://www.halborn.com/blog/post/explained-the-pnetwork-hack-september-2021
Axie Infinity’s Ronin Network Suffers \$625M Exploit,https://www.coindesk.com/tech/2022/03/29/axie-infinitys-ronin-network-suffers-625m-exploit/
Beware of the LayerZero Token Scam: Stay Informed and Stay Safe,https://coinwire.com/beware-of-the-layerzero-scam-stay-informed-and-safe/
Thorchain Incident Analysis,https://github.com/HalbornSecurity/PublicReports/blob/master/Incident Reports/
OpenSea NFT platform bugs let hackers steal crypto wallets,https://www.bleepingcomputer.com/news/security/opensea-nft-platform-bugs-let-hackers-steal-crypto-wallets/
Regarding “blockwell.ai KYC Casper Token” Transaction Notifications,https://medium.com/imtoken/regarding-blockwell-ai-kyc-casper-token-transaction-notifications-aac3c81b9863
"Two Polygon, Fantom Front Ends Hit by DNS Attack",https://www.coindesk.com/tech/2022/07/01/two-polygon-fantom-front-ends-hit-by-dns-attack/
rektosaurus,https://github.com/muellerberndt/rektosaurus
Frax Finance Says its Domain Name Hijacking Has Been Resolved,https://www.coindesk.com/markets/2023/11/01/frax-finance-says-its-domain-name-has-been-hijacked/
Blockwell.ai KYC Casper Token "Psoriasis Advertising" Event Analysis,https://paper.seebug.org/709/
What Is Sleepminting And Will It Ruin NFT Provenance?,https://timdaub.github.io/2021/04/22/nft-sleepminting-beeple-provenance/
The internet’s core infrastructure was hacked to steal ethereum from a popular wallet service,https://qz.com/1261540/mew-ethereum-hack-the-internets-infrastructure-was-compromised-to-target-myetherwallet
TetherClaims,https://twitter.com/PeckShieldAlert/status/1551630862600527874?t=pAmAETpV2jpmLAgU23QD9w&s=05
SlowMist Hacked,https://hacked.slowmist.io/
